"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3048","Checking navbar on static pages","tests.test_navbar","Fri Aug 15 08:04:17 UTC 2025","passed","Fri Aug 15 08:04:20 UTC 2025","TestNavbar","test_navbar","",""
"","1689","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:58:23 UTC 2025","passed","Fri Aug 15 07:58:25 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","5841","Checking category on static pages","tests.test_category","Fri Aug 15 07:58:57 UTC 2025","passed","Fri Aug 15 07:59:03 UTC 2025","","test_category","",""
"","1121","Checking breadcrumb on static pages","tests.test_breadcrumb","Fri Aug 15 07:57:45 UTC 2025","passed","Fri Aug 15 07:57:46 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","1645","Checking chosen category on static pages","tests.test_chosen_category","Fri Aug 15 07:59:38 UTC 2025","passed","Fri Aug 15 07:59:40 UTC 2025","TestChosen","test_chosen_category","",""
"","3177","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:53 UTC 2025","passed","Fri Aug 15 08:05:57 UTC 2025","TestScrollUp","test_scroll_up","",""
"","6241","Checking breadcrumb on cart page","tests.test_breadcrumb","Fri Aug 15 07:58:03 UTC 2025","passed","Fri Aug 15 07:58:09 UTC 2025","TestBreadcrumb","test_breadcrumb","",""
"","43172","Checking navbar logout and delete account","tests.test_navbar","Fri Aug 15 08:06:30 UTC 2025","passed","Fri Aug 15 08:07:13 UTC 2025","TestNavbar > TestNavbarRegression","test_navbar","",""
"","1540","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:59 UTC 2025","passed","Fri Aug 15 08:06:01 UTC 2025","TestScrollUp","test_scroll_up","",""
"","742","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:03 UTC 2025","passed","Fri Aug 15 08:02:03 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1680","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:01:23 UTC 2025","passed","Fri Aug 15 08:01:25 UTC 2025","TestLowerPanel","test_lower_panel","",""
"","1714","Checking chosen brand on static pages","tests.test_chosen_category","Fri Aug 15 08:03:13 UTC 2025","passed","Fri Aug 15 08:03:14 UTC 2025","TestChosen","test_chosen_category","",""
"","2778","Checking scroll up on static pages","tests.test_scroll_up","Fri Aug 15 08:05:04 UTC 2025","passed","Fri Aug 15 08:05:07 UTC 2025","TestScrollUp","test_scroll_up","",""
"","1030","Checking lower panel on static pages","tests.test_lower_panel","Fri Aug 15 08:02:01 UTC 2025","passed","Fri Aug 15 08:02:02 UTC 2025","TestLowerPanel","test_lower_panel","",""
